Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
1.68,1187.192503339466,1172.118346,1204.5145427521202,1286.010935752705,1190.5840394254774,0.996109451,0.983461535,1.010643444,1.079022689,0.998955107
1.69,1187.2995427431547,1172.5087607455157,1204.831644248101,1286.347346350818,1190.9791302273516,0.996053237,0.983644905,1.010761325,1.079146746,0.999140128
1.7,1187.405735977188,1172.897306737675,1205.146875,1286.6816365969871,1191.3718903807458,0.99599737,0.983827682,1.010878659,1.079270115,0.999324185
1.71,1187.511094644579,1173.284003704327,1205.4602579254424,1287.0138322094713,1191.7623472231207,0.995941847,0.98400987,1.010995452,1.079392806,0.999507287
1.72,1187.6156301226397,1173.668871180908,1205.771813598869,1287.3439584464882,1192.1505276137032,0.995886664,0.984191473,1.011111709,1.079514826,0.999689447
1.73,1187.7193535686497,1174.0519283843416,1206.0815635264153,1287.672040117062,1192.5364579444283,0.995831817,0.984372496,1.011227434,1.079636181,0.999870671
1.74,1187.822275925355,1174.433194220038,1206.3895285212202,1287.998101591554,1192.9201641511172,0.995777301,0.984552942,1.011342633,1.079756879,1.000050972
1.75,1187.924407926295,1174.812687288702,1206.6957290387363,1288.3221668118886,1193.3016717237188,0.995723114,0.984732816,1.011457312,1.079876927,1.000230358
1.76,1188.0257601009712,1175.190425892952,1207.0001851847628,1288.6442593014813,1193.6810057164405,0.995669251,0.984912121,1.011571475,1.079996333,1.000408841
1.77,1188.1263427798542,1175.566428043762,1207.3029167233617,1288.9644021748843,1194.0581907574087,0.995615708,0.985090861,1.011685126,1.080115102,1.000586426
1.78,1188.2261660992474,1175.940711466723,1207.6039430846577,1289.282618147156,1194.433251059032,0.995562483,0.985269041,1.011798271,1.080233243,1.000763127
1.79,1188.3252400059996,1176.3132936081436,1207.903283372114,1289.5989295429636,1194.8062104263809,0.995509571,0.985446663,1.011910914,1.080350761,1.00093895
1.8,1188.423574262081,1176.6841916409778,1208.2009563700412,1289.913358,1195.1770922667347,0.99545697,0.985623733,1.012023061,1.080467664,1.001113907
1.81,1188.5211784490225,1177.053422470604,1208.4969805505823,1290.2259260047308,1195.5459195986623,0.995404675,0.985800253,1.012134714,1.080583957,1.001288003
1.82,1188.6180619722236,1177.4210027404426,1208.7913740804652,1290.5366538464546,1195.912715059705,0.995352683,0.985976229,1.012245881,1.080699648,1.00146125
1.83,1188.7142340651385,1177.7869488374322,1209.0841548279277,1290.845562679726,1196.2775009158067,0.995300991,0.986151661,1.012356564,1.080814741,1.001633654
1.84,1188.8097037933348,1178.1512768973566,1209.3753403690062,1291.152673005109,1196.6402990686474,0.995249595,0.986326556,1.012466767,1.080929244,1.001805225
1.85,1188.90448,1178.514002810036,1209.6649479941116,1291.4580049822898,1197.001131064142,0.995198493,0.986500917,1.012576497,1.081043164,1.001975972
1.86,1188.9985716019712,1178.8751422243838,1209.9529947138508,1291.761578437554,1197.3600180991923,0.995147681,0.986674746,1.012685755,1.081156504,1.002145901
1.87,1189.0919870090568,1179.234711,1210.2394972653128,1292.063412871055,1197.7169810301857,0.995097156,0.986848048,1.012794548,1.081269272,1.002315022
1.88,1189.184734712052,1179.5927229786212,1210.524472118006,1292.3635274638923,1198.0720403796297,0.995046914,0.987020826,1.012902878,1.081381473,1.002483342
1.89,1189.2768229940525,1179.9491944554968,1210.8079354789224,1292.661941084992,1198.425216343487,0.994996955,0.987193085,1.013010752,1.081493115,1.00265087
1.9,1189.3682599923077,1180.3041397172465,1211.089903,1292.958672297812,1198.7765287980435,0.994947273,0.987364826,1.013118171,1.0816042,1.002817612
1.91,1189.459053701541,1180.6575732796523,1211.370391,1293.2537393668608,1199.1259973064298,0.994897866,0.987536054,1.01322514,1.081714735,1.002983576
1.92,1189.549211977175,1181.0095094453188,1211.6494148681522,1293.5471602640494,1199.473641125718,0.994848732,0.987706772,1.013331665,1.081824727,1.003148771
1.93,1189.6387425384687,1181.3599623078971,1211.9269892836455,1293.838952674873,1199.8194792121649,0.994799866,0.987876983,1.013437747,1.08193418,1.003313203
1.94,1189.7276529715682,1181.7089457562006,1212.2031295009074,1294.129134004434,1200.1635302290088,0.994751268,0.988046692,1.013543391,1.082043099,1.00347688
1.95,1189.8159507324733,1182.0564734782208,1212.4778502659756,1294.417721383301,1200.505812550895,0.994702932,0.9882159,1.0136486,1.082151489,1.003639808
1.96,1189.9036431499244,1182.402558965045,1212.7511660983437,1294.704731673226,1200.8463442708598,0.994654859,0.988384612,1.01375338,1.082259357,1.003801995
1.97,1189.990737428208,1182.747215514676,1213.0230912961997,1294.9901814727064,1201.185143205803,0.994607043,0.988552829,1.013857732,1.082366706,1.003963447
1.98,1190.0772406498904,1183.090456235759,1213.293639940268,1295.2740871224066,1201.5222269018411,0.994559483,0.988720557,1.013961661,1.082473543,1.004124173
1.99,1190.163159778476,1183.4322940512195,1213.562826,1295.556464710443,1201.8576126398984,0.994512177,0.988887798,1.01406517,1.082579871,1.004284178
2,1190.2485016609928,1183.7727417018148,1213.8306628308492,1295.837330077532,1202.1913174410583,0.994465121,0.989054556,1.014168264,1.082685696,1.004443469
2.01,1190.3332730305128,1184.111811749594,1214.097164191946,1296.1166988220089,1202.5233580719214,0.994418314,0.989220832,1.014270946,1.082791023,1.004602053
2.02,1190.417480508603,1184.449516581282,1214.3623432369204,1296.394586304722,1202.8537510492606,0.994371752,0.989386631,1.014373218,1.082895855,1.004759936
2.03,1190.5011306077122,1184.785868411581,1214.626213024254,1296.671007653802,1203.182512645144,0.994325433,0.989551955,1.014475084,1.083000199,1.004917124
2.04,1190.584229733497,1185.1208792863924,1214.888786419935,1296.945977769314,1203.5096588919405,0.994279355,0.989716807,1.014576548,1.083104057,1.005073624
2.05,1190.6667841870844,1185.454561085964,1215.1500761011266,1297.219511327794,1203.8352055867435,0.994233515,0.989881192,1.014677614,1.083207436,1.005229443
2.06,1190.7488001672775,1185.7869255279638,1215.4100945601822,1297.491622786673,1204.1591682961443,0.994187912,0.990045111,1.014778284,1.08331034,1.005384586
2.07,1190.830283772705,1186.117984170482,1215.6688541077892,1297.762326388593,1204.4815623603065,0.994142543,0.990208567,1.014878562,1.083412772,1.005539059
2.08,1190.9112410039113,1186.4477484149622,1215.9263668766944,1298.0316361656191,1204.8024028979708,0.994097404,0.990371563,1.01497845,1.083514737,1.005692868
2.09,1190.991678,1186.7762295090674,1216.1826448251377,1298.2995659433443,1205.1217048099495,0.994052496,0.990534103,1.015077953,1.083616241,1.00584602
2.1,1191.0715998676185,1187.103438549477,1216.4376997401705,1298.5661293449025,1205.439482784248,0.994007814,0.990696188,1.015177072,1.083717284,1.005998519
2.11,1191.1510130288957,1187.429386484623,1216.6915432406822,1298.8313397948768,1205.755751298973,0.993963358,0.990857823,1.015275812,1.083817875,1.006150372
2.12,1191.229922877332,1187.754084117361,1216.9441867808928,1299.0952105231213,1206.070525,0.993919124,0.99101901,1.015374175,1.083918015,1.006301585
2.13,1191.3083349526382,1188.077542107583,1217.1956416533794,1299.3577545684866,1206.3838168404764,0.993875111,0.991179751,1.015472164,1.084017709,1.006452162
2.14,1191.3862547079325,1188.399770974771,1217.4459189921035,1299.6189847824598,1206.6956418126356,0.993831317,0.99134005,1.015569783,1.084116962,1.006602111
2.15,1191.4636875114882,1188.720781100491,1217.6950297749718,1299.878913832718,1207.006013223319,0.993787739,0.991499908,1.015667034,1.084215776,1.006751434
2.16,1191.540638648444,1189.0405827308348,1217.942984827503,1300.1375542065962,1207.3149445618037,0.993744375,0.991659329,1.01576392,1.084314155,1.006900139
2.17,1191.617113322466,1189.3591859788044,1218.1897948249823,1300.3949182144777,1207.6224491307512,0.993701224,0.991818316,1.015860444,1.084412105,1.007048231
2.18,1191.6931166573745,1189.6766008266454,1218.435470295546,1300.651017993101,1207.9285400487715,0.993658284,0.991976871,1.015956609,1.084509628,1.007195714
2.19,1191.7686536987253,1189.9928371281294,1218.680021622684,1300.9058655087956,1208.233230255195,0.993615552,0.992134997,1.016052418,1.084606727,1.007342595
2.2,1191.843729415359,1190.3079046107844,1218.923459,1301.159472560637,1208.5365325113526,0.993573027,0.992292696,1.016147873,1.084703408,1.007488877
2.21,1191.9183487009066,1190.621812878078,1219.1657926741757,1301.4118507835335,1208.8384594061645,0.993530707,0.992449971,1.016242977,1.084799674,1.007634567
2.22,1191.9925163752648,1190.9345714115527,1219.407032466319,1301.663011651242,1209.1390233573038,0.993488589,0.992606825,1.016337734,1.084895527,1.007779668
2.23,1192.066237,1191.2461895729157,1219.647188255738,1301.9129664793118,1209.4382366152713,0.993446672,0.992763259,1.016432144,1.084990971,1.007924186
2.24,1192.1395158099028,1191.5566766060826,1219.8862697415752,1302.1617264279655,1209.736111,0.993404956,0.992919279,1.016526212,1.085086012,1.008068127
2.25,1192.212356854057,1191.8660416391776,1220.1242864935775,1302.409302504914,1210.032659233897,0.993363436,0.993074883,1.016619939,1.08518065,1.008211493
2.26,1192.284764857475,1192.174293686492,1220.3612479538424,1302.6557055681058,1210.3278922850732,0.993322112,0.993230076,1.016713329,1.08527489,1.008354291
2.27,1192.3567442922565,1192.481441650399,1220.5971634398447,1302.900946328418,1210.6218220297014,0.993280983,0.993384861,1.016806384,1.085368736,1.008496525
2.28,1192.4282995648898,1192.7874943232305,1220.8320421457756,1303.145035352286,1210.91446,0.993240045,0.993539239,1.016899107,1.08546219,1.0086382
2.29,1192.4994350174989,1193.0924603891126,1221.0658931454527,1303.3879830642732,1211.205817275797,0.993199298,0.993693213,1.016991499,1.085555257,1.008779319
2.3,1192.570154929059,1193.3963484257638,1221.2987253938336,1303.6297997495876,1211.4959052428603,0.99315874,0.993846785,1.017083564,1.085647938,1.008919888
2.31,1192.640463516585,1193.6991669062536,1221.5305477295187,1303.8704955565404,1211.7847348389914,0.993118369,0.993999957,1.017175303,1.085740237,1.009059911
2.32,1192.7103649362912,1194.0009242007272,1221.761368876556,1304.110080498951,1212.072316934937,0.993078184,0.994152733,1.01726672,1.085832158,1.009199392
2.33,1192.7798632847257,1194.3016285780927,1221.9911974464194,1304.3485644584998,1212.3586622613948,0.993038182,0.994305114,1.017357817,1.085923704,1.009338336
2.34,1192.848962599879,1194.6012882076743,1222.220041939814,1304.585957187032,1212.643781410763,0.992998363,0.994457103,1.017448595,1.086014878,1.009476747
2.35,1192.9176668622663,1194.899911160831,1222.4479107488878,1304.822268308807,1212.9276848406298,0.992958725,0.994608702,1.017539058,1.086105682,1.009614629
2.36,1192.9859799959852,1195.197505412543,1222.6748121588023,1305.057507322705,1213.2103828745894,0.992919266,0.994759913,1.017629208,1.08619612,1.009751987
2.37,1193.0539058697514,1195.494078842965,1222.9007543495973,1305.2916836043817,1213.4918857059674,0.992879986,0.99491074,1.017719046,1.086286195,1.009888824
2.38,1193.1214482979094,1195.7896392389496,1223.125745398167,1305.524806408379,1213.7722033988684,0.99284088,0.995061181,1.017808575,1.086375909,1.010025144
2.39,1193.1886110414205,1196.084194295535,1223.3497932795435,1305.7568848701912,1214.0513458908536,0.99280195,0.995211243,1.017897798,1.086465266,1.010160952
2.4,1193.255398,1196.3777516174127,1223.572905869165,1305.9879280082869,1214.3293229953852,0.992763193,0.995360925,1.017986717,1.086554268,1.010296252
2.41,1193.3218122572132,1196.6703187203532,1223.7950909439824,1306.2179447260885,1214.6061444031077,0.992724607,0.99551023,1.018075333,1.086642918,1.010431047
2.42,1193.387857993097,1196.961903032614,1224.0163561844963,1306.446943813909,1214.8818196844077,0.992686192,0.995659161,1.018163649,1.086731219,1.010565341
2.43,1193.4535385733666,1197.2525118963151,1224.236709176097,1306.6749339508506,1215.1563582915114,0.992647947,0.99580772,1.018251667,1.086819175,1.010699139
2.44,1193.518857506148,1197.5421525687857,1224.4561574109248,1306.9019237066618,1215.4297695598798,0.992609868,0.995955909,1.01833939,1.086906787,1.010832444
2.45,1193.5838182516736,1197.8308322238863,1224.6747082889196,1307.1279215435577,1215.7020627103047,0.992571956,0.996103729,1.018426819,1.086994058,1.010965259
2.46,1193.6484242231277,1198.118557953309,1224.8923691197997,1307.3529358179997,1215.9732468515867,0.992534208,0.996251183,1.018513955,1.08708099,1.011097589
2.47,1193.7126787874745,1198.4053367678423,1225.1091471242837,1307.5769747824431,1216.2433309810003,0.992496624,0.996398272,1.018600802,1.087167587,1.011229437
2.48,1193.7765852662676,1198.6911755986218,1225.3250494355452,1307.800046587045,1216.5123239869718,0.992459202,0.996545,1.018687362,1.087253852,1.011360806
2.49,1193.840146936443,1198.976081298351,1225.5400831006118,1308.0221592813398,1216.7802346507087,0.99242194,0.996691368,1.018773636,1.087339785,1.011491701
2.5,1193.9033670310944,1199.2600606424978,1225.7542550818762,1308.2433208158782,1217.0470716478303,0.992384838,0.996837377,1.018859626,1.087425391,1.011622125
2.51,1193.966248740232,1199.5431203304736,1225.967572258378,1308.4635390438366,1217.3128435499966,0.992347894,0.996983031,1.018945335,1.087510672,1.011752081
2.52,1194.028795211526,1199.8252669867834,1226.1800414269674,1308.6828217225907,1217.5775588265387,0.992311108,0.997128331,1.019030764,1.08759563,1.011881573
2.53,1194.0910095510328,1200.1065071621574,1226.3916693038773,1308.901176515259,1217.8412258464375,0.992274477,0.997273279,1.019115915,1.087680269,1.012010605
2.54,1194.152894823908,1200.386847334661,1226.6024625257123,1309.1186109922162,1218.1038528793724,0.992238,0.997417876,1.01920079,1.087764588,1.012139179
2.55,1194.2144540551033,1200.6662939107837,1226.8124276510207,1309.3351326325744,1218.3654480976984,0.992201676,0.997562125,1.019285391,1.087848592,1.012267299
2.56,1194.275690230047,1200.9448532265042,1227.021571161342,1309.550748825637,1218.6260195777286,0.992165504,0.997706028,1.01936972,1.087932283,1.012394968
2.57,1194.3366062953155,1201.2225315483436,1227.229899462196,1309.7654668723217,1218.8855753013631,0.992129483,0.997849587,1.019453778,1.088015664,1.01252219
2.58,1194.3972051592857,1201.4993350743885,1227.437418884656,1309.9792939865592,1219.1441231574863,0.992093611,0.997992802,1.019537568,1.088098735,1.012648967
2.59,1194.4574896927743,1201.775269935304,1227.6441356864525,1310.1922372966594,1219.4016709435964,0.992057888,0.998135678,1.019621091,1.088181501,1.012775303
2.6,1194.517463,1202.0503421953215,1227.8500560526736,1310.4043038466552,1219.6582263666205,0.992022312,0.998278214,1.019704349,1.088263962,1.012901202
2.61,1194.5771270675436,1202.324557853213,1228.0551860973935,1310.6155005976182,1219.913797045243,0.991986882,0.998420414,1.019787343,1.088346122,1.013026666
2.62,1194.6364854682536,1202.5979228432443,1228.259531864489,1310.8258344289484,1220.1683905104874,0.991951597,0.998562278,1.019870077,1.088427983,1.013151698
2.63,1194.6955406585344,1202.8704430361126,1228.4630993288592,1311.035312139641,1220.422014,0.991916456,0.998703809,1.01995255,1.088509546,1.013276301
2.64,1194.7542953305754,1203.142124239865,1228.6658943970688,1311.2439404495276,1220.6746754958294,0.991881457,0.998845008,1.020034766,1.088590813,1.01340048
2.65,1194.8127521425868,1203.4129722008024,1228.8679229091504,1311.4517260004925,1220.926381652942,0.9918466,0.998985877,1.020116725,1.088671788,1.013524235
2.66,1194.870913719355,1203.682992604366,1229.069191,1311.6586753576678,1221.1771398731507,0.991811883,0.999126418,1.020198429,1.088752472,1.013647571
2.67,1194.928782652787,1203.952191076008,1229.2697032949072,1311.8647950106056,1221.426957270247,0.991777306,0.999266633,1.02027988,1.088832867,1.01377049
2.68,1194.9863615024424,1204.2205731820468,1229.4694665222196,1312.0700913744265,1221.6758408775786,0.991742868,0.999406523,1.02036108,1.088912976,1.013892995
2.69,1195.043652796057,1204.4881444305047,1229.6684859025409,1312.2745707909469,1221.923797650612,0.991708567,0.999546091,1.020442031,1.0889928,1.014015091
2.7,1195.100659030053,1204.7549102719356,1229.866766955471,1312.478239529786,1222.1708344670478,0.991674401,0.999685336,1.020522732,1.089072341,1.014136777
2.71,1195.157382670045,1205.0208761002327,1230.0643151393742,1312.6811037894522,1222.4169581284514,0.991640372,0.999824263,1.020603188,1.089151602,1.014258059
2.72,1195.2138261513278,1205.2860472534248,1230.2611358523718,1312.8831696984075,1222.6621753609506,0.991606476,0.999962872,1.020683398,1.089230584,1.014378938
2.73,1195.2699918793617,1205.5504290144577,1230.457234433212,1313.0844433161133,1222.9064928169828,0.991572714,1.000101165,1.020763366,1.08930929,1.014499417
2.74,1195.325882230244,1205.8140266119622,1230.6526161619113,1313.2849306340574,1223.1499170759926,0.991539084,1.000239143,1.020843091,1.08938772,1.0146195
2.75,1195.3814995511752,1206.0768452210082,1230.8472862608614,1313.4846375767606,1223.3924546452472,0.991505586,1.000376808,1.020922576,1.089465878,1.014739188
2.76,1195.4368461609108,1206.338889963847,1231.041249895643,1313.6835700027657,1223.6341119613498,0.991472218,1.000514162,1.021001822,1.089543765,1.014858485
2.77,1195.4919243502102,1206.600165910636,1231.2345121758408,1313.8817337056075,1223.874895390938,0.991438978,1.000651206,1.02108083,1.089621383,1.014977392
2.78,1195.5467363822731,1206.860678,1231.427078155626,1314.079134414768,1224.114811232081,0.991405868,1.000787942,1.021159604,1.089698734,1.015095914
2.79,1195.6012844931686,1207.120431440529,1231.618952834804,1314.275777796609,1224.353866,0.991372886,1.000924372,1.021238143,1.08977582,1.015214052
2.8,1195.6555708922565,1207.3794309098732,1231.8101411596872,1314.4716694552935,1224.592065,0.991340029,1.001060497,1.021316448,1.089852642,1.015331809
2.81,1195.7095977626009,1207.6376813570191,1232.000648023386,1314.6668149336856,1224.829415192013,0.991307299,1.001196319,1.021394523,1.089929203,1.015449187
2.82,1195.7633672613738,1207.8951876021606,1232.1904782672063,1314.861219714237,1225.065922315931,0.991274693,1.001331838,1.021472368,1.090005504,1.015566189
2.83,1195.8168815202544,1208.151954417512,1232.3796366807655,1315.0548892198578,1225.3015923425555,0.991242211,1.001467058,1.021549983,1.090081547,1.015682817
2.84,1195.870142645818,1208.4079865279557,1232.5681280030983,1315.2478288147695,1225.5364311768208,0.991209851,1.001601978,1.021627371,1.090157332,1.015799074
2.85,1195.9231527199186,1208.663288611675,1232.755956923298,1315.4400438053458,1225.7704446616117,0.991177614,1.001736601,1.021704534,1.090232864,1.015914962
2.86,1195.975913800066,1208.9178653007782,1232.9431280810968,1315.6315394409346,1226.0036385784624,0.991145498,1.001870929,1.021781473,1.090308143,1.016030484
2.87,1196.0284279197922,1209.1717211819112,1233.1296460678568,1315.8223209146695,1226.2360186481385,0.991113502,1.002004962,1.021858188,1.09038317,1.016145642
2.88,1196.0806970890148,1209.4248607968614,1233.3155154268024,1316.012393364265,1226.4675905320328,0.991081626,1.002138702,1.021934682,1.090457948,1.016260439
2.89,1196.1327232943918,1209.6772886431493,1233.500741,1316.2017618727969,1226.6983598324005,0.991049869,1.002272152,1.022010956,1.090532479,1.016374877
2.9,1196.1845084996692,1209.9290091746118,1233.6853261991057,1316.3904314694712,1226.9283320932882,0.991018229,1.002405311,1.02208701,1.090606763,1.016488957
2.91,1196.2360546460236,1210.1800268019756,1233.8692764654406,1316.578407130378,1227.157512802165,0.990986707,1.002538182,1.022162847,1.090680803,1.016602683
2.92,1196.2873636523984,1210.430345893421,1234.0525958113722,1316.7656937792317,1227.385907,0.9909553,1.002670766,1.022238467,1.090754599,1.016716056
2.93,1196.3384374158336,1210.6799707751366,1234.2352885503203,1316.952296288102,1227.6135212297086,0.99092401,1.002803064,1.022313873,1.090828154,1.01682908
2.94,1196.389277811788,1210.928905731863,1234.417358951876,1317.1382194781272,1227.8403596433343,0.990892833,1.002935078,1.022389064,1.09090147,1.016941755
2.95,1196.4398866944598,1211.1771550074336,1234.5988112418563,1317.3234681202189,1228.0664278956829,0.99086177,1.003066809,1.022464042,1.090974546,1.017054085
2.96,1196.4902658970957,1211.424722805296,1234.7796496033552,1317.5080469357529,1228.291731199366,0.99083082,1.003198259,1.02253881,1.091047387,1.017166071
2.97,1196.5404172322992,1211.6716132890374,1234.9598781771492,1317.6919605972494,1228.5162747137947,0.990799982,1.003329429,1.022613368,1.091119993,1.017277717
2.98,1196.5903424923315,1211.9178305828916,1235.1395010622218,1317.8752137290408,1228.7400635464585,0.990769256,1.003460319,1.022687716,1.091192364,1.017389022
2.99,1196.6400434494062,1212.1633787722426,1235.3185223162873,1318.0578109079283,1228.9631027536234,0.990738641,1.003590934,1.022761858,1.091264505,1.017499992
3,1196.6895218559807,1212.4082619041196,1235.496945956489,1318.2397566638274,1229.1853973407997,0.990708135,1.003721271,1.022835792,1.091336414,1.017610625
